"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 11:14:36 BRT 2023","Mon Jul 24 11:14:48 BRT 2023","12585","","Delete Note","","","","""before all"" hook for Delete Note",""
"passed","Mon Jul 24 11:14:48 BRT 2023","Mon Jul 24 11:14:48 BRT 2023","1","","Delete Note","","","","""before each"" hook for Delete Note",""
"passed","Mon Jul 24 11:12:22 BRT 2023","Mon Jul 24 11:12:30 BRT 2023","7413","","Delete Note","","","","Delete a note & check the note in trash can",""
"passed","Mon Jul 24 11:14:48 BRT 2023","Mon Jul 24 11:15:00 BRT 2023","12045","","Delete Note","","","","Delete a note & check the note in trash can",""
"passed","Mon Jul 24 11:15:00 BRT 2023","Mon Jul 24 11:15:00 BRT 2023","2","","Delete Note","","","","""after each"" hook for Delete Note",""
"passed","Mon Jul 24 11:12:13 BRT 2023","Mon Jul 24 11:12:22 BRT 2023","9204","","Delete Note","","","","""before all"" hook for Delete Note",""
"passed","Mon Jul 24 11:12:30 BRT 2023","Mon Jul 24 11:12:30 BRT 2023","1","","Delete Note","","","","""after each"" hook for Delete Note",""
"passed","Mon Jul 24 11:12:22 BRT 2023","Mon Jul 24 11:12:22 BRT 2023","1","","Delete Note","","","","""before each"" hook for Delete Note",""
